Description Hp Attack Defence Sp.Attack Sp.Defence
Bullbasaur 1 9 2 3 0
Charmander 2 5 4 3 2
Squirtle 6 2 10 4 6
Pikachu 4 5 7 3 4
Turtwig 1 3 2 4 0
Chimchar 2 5 3 4 1
Piplup 2 5 3 5 0
Treecko 8 2 7 10 6
Torchic 1 10 2 2 0
Mudkip 7 3 5 6 8
Chikorita 10 1 6 2 9
Cyndaquil 2 7 2 5 0
Totodile 3 4 5 5 2
Bullbasaur 1 9 2 3 0
Charmander 2 5 4 3 2
Squirtle 6 2 10 4 6
Pikachu 4 5 7 3 4
Turtwig 1 3 2 4 0
Chimchar 2 5 3 4 1
Piplup 2 5 3 5 0
Treecko 8 2 7 10 6
Torchic 1 10 2 2 0
Mudkip 7 3 5 6 8
Chikorita 10 1 6 2 9
Cyndaquil 2 7 2 5 0
Totodile 3 4 5 5 2
Bullbasaur 1 9 2 3 0
Charmander 2 5 4 3 2
Squirtle 6 2 10 4 6
Pikachu 4 5 7 3 4
Turtwig 1 3 2 4 0
Chimchar 2 5 3 4 1
Piplup 2 5 3 5 0
Treecko 8 2 7 10 6
Torchic 1 10 2 2 0
Mudkip 7 3 5 6 8
Chikorita 10 1 6 2 9
Cyndaquil 2 7 2 5 0
Totodile 3 4 5 5 2
Charmander 2 5 4 3 2
